Навык,Количество,Процент
Управление проектами,107,3.92%
Организаторские навыки,99,3.63%
Деловая коммуникация,88,3.22%
Деловая переписка,64,2.34%
Проектная документация,50,1.83%
Ведение переговоров,48,1.76%
Строительство,42,1.54%
MS Project,40,1.47%
Управление командой,40,1.47%
Работа в команде,37,1.36%
Проектный менеджмент,36,1.32%
Основы управления проектами,35,1.28%
Планирование бюджета,33,1.21%
Деловое общение,32,1.17%
Заключение договоров,30,1.10%
Управление рисками,29,1.06%
Руководство коллективом,29,1.06%
Управление ресурсами,29,1.06%
AutoCAD,29,1.06%
Жизненный цикл проекта,29,1.06%
Управление коммуникациями,26,0.95%
Английский язык,24,0.88%
Project management,24,0.88%
Разработка технических заданий,20,0.73%
Scrum,19,0.70%
B2B Продажи,18,0.66%
Сопровождение строительства,18,0.66%
Управление подрядчиками,18,0.66%
Документооборот,17,0.62%
Управление строительством,17,0.62%
Бизнес-анализ,17,0.62%
Работа с большим объемом информации,16,0.59%
Аналитическое мышление,16,0.59%
Организация работы сотрудников,16,0.59%
Планирование,15,0.55%
Навыки переговоров,15,0.55%
Строительный контроль,15,0.55%
Планирование строительных работ,14,0.51%
Ведение проектной документации,14,0.51%
PMBOK,13,0.48%
Выбор подрядных организаций,13,0.48%
Контроль исполнения решений,13,0.48%
MS Excel,12,0.44%
Грамотная речь,12,0.44%
Стратегический менеджмент,12,0.44%
Планирование ресурсов,12,0.44%
Agile,12,0.44%
Управленческие навыки,12,0.44%
Производство строительно-монтажных работ,11,0.40%
Активные продажи,11,0.40%
Управление конфликтами,11,0.40%
Проектная деятельность,11,0.40%
Чтение чертежей,10,0.37%
Организация деловых встреч,10,0.37%
Поиск и привлечение клиентов,10,0.37%
Телефонные переговоры,10,0.37%
Проведение презентаций,10,0.37%
Навыки презентации,10,0.37%
Техническая документация,10,0.37%
Управление персоналом,9,0.33%
Стратегическое мышление,9,0.33%
Разработка проектной документации,9,0.33%
Ориентация на результат,9,0.33%
Инженерные системы,8,0.29%
Коммуникабельность,8,0.29%
Документальное сопровождение,8,0.29%
Согласование договоров,8,0.29%
Ответственность,8,0.29%
Организационные навыки,8,0.29%
Делегирование,8,0.29%
Atlassian Jira,8,0.29%
Управление ожиданиями,8,0.29%
Разработка бизнес-требований,8,0.29%
Постановка задач разработчикам,8,0.29%
Управление временем,8,0.29%
1С: Предприятие 8,7,0.26%
Контроль бюджета,7,0.26%
Многозадачность,7,0.26%
Нормативно-техническая документация,7,0.26%
Пользователь ПК,7,0.26%
Waterfall,7,0.26%
Битрикс24,6,0.22%
Управление бизнес процессами,6,0.22%
Взаимодействие с разрешительными органами,6,0.22%
Оптимизация бизнес-процессов,6,0.22%
Ведение документации,6,0.22%
Управление затратами,6,0.22%
MS PowerPoint,6,0.22%
Agile Project Management,6,0.22%
Продуктовые метрики,6,0.22%
Строительное делопроизводство,6,0.22%
АСУ ТП,6,0.22%
Строительные расчёты,6,0.22%
Контроль качества,6,0.22%
Системный анализ,6,0.22%
Знание нормативной документации ГОСТ и СНиП,6,0.22%
Управление отношениями с клиентами,5,0.18%
Наставничество,5,0.18%
Гражданское строительство,5,0.18%
Составление договоров,5,0.18%
Работа в условиях многозадачности,5,0.18%
Организация встреч,5,0.18%
Взаимодействие с субподрядными организациями,5,0.18%
Подготовка коммерческих предложений,5,0.18%
Подготовка презентаций,5,0.18%
Навыки продаж,5,0.18%
Строительная документация,5,0.18%
Взаимодействие с надзорными организациями,5,0.18%
Управление бэклогом,5,0.18%
CRM,5,0.18%
Бюджетирование,5,0.18%
Мобильность,5,0.18%
Календарный план строительства,5,0.18%
ERP-системы на базе 1С,5,0.18%
1С,5,0.18%
Управление продажами,5,0.18%
Работа с проектной документацией,4,0.15%
Чтение проектной документации,4,0.15%
Развитие продаж,4,0.15%
Промышленное строительство,4,0.15%
Kanban,4,0.15%
Проектирование зданий и сооружений,4,0.15%
Системная интеграция,4,0.15%
Atlassian Confluence,4,0.15%
Целеустремленность,4,0.15%
Планирование продаж,4,0.15%
Расстановка приоритетов,4,0.15%
Грамотность,4,0.15%
Умение принимать решения,4,0.15%
MS Office,4,0.15%
Стрессоустойчивость,4,0.15%
Организация мероприятий,4,0.15%
1С: Документооборот,4,0.15%
Взаимодействие с заказчиком,4,0.15%
Электронный документооборот,4,0.15%
Подбор персонала,4,0.15%
Управление интернет-проектами,4,0.15%
Проектирование,4,0.15%
Разработка стратегии развития,4,0.15%
Разработка и внедрение KPI,4,0.15%
Формирование границ проекта,4,0.15%
MS Word,4,0.15%
Коммуникативные навыки,4,0.15%
Контроль выполнения задач,3,0.11%
Лидерство,3,0.11%
Ведение активных клиентов,3,0.11%
Автоматизация производства,3,0.11%
Работа с поставщиками,3,0.11%
Управление знаниями‎,3,0.11%
Менеджмент качества,3,0.11%
Анализ требований,3,0.11%
Системное мышление,3,0.11%
OKR,3,0.11%
Электрические системы и слаботочные системы,3,0.11%
Сопровождение клиентов,3,0.11%
Управление стейкхолдерами,3,0.11%
Клиентоориентированность,3,0.11%
Проведение переговоров,3,0.11%
Административная поддержка руководителя,3,0.11%
Ведение проектов,3,0.11%
Деловые коммуникации,3,0.11%
Контроль сотрудников,3,0.11%
Делопроизводство,3,0.11%
Ведение рабочей документации,3,0.11%
строительно-монтажные работы,3,0.11%
Умение работать в условиях многозадачности,3,0.11%
Разработка эксплуатационной документации,3,0.11%
Авторский надзор,3,0.11%
Исходно-разрешительная документация,3,0.11%
Знание нормативной документации,3,0.11%
Технический надзор,3,0.11%
Умение работать в коллективе,3,0.11%
Управление изменениями,3,0.11%
Взаимодействие с контрольными органами,3,0.11%
Сбор и анализ информации,3,0.11%
Холодные продажи,3,0.11%
Креативность,3,0.11%
Энергетика,3,0.11%
Строительно-отделочные работы,3,0.11%
Организация рабочего процесса,3,0.11%
Тайм-менеджмент,3,0.11%
Взаимодействие с государственными контролирующими органами,3,0.11%
Организация совещаний,3,0.11%
Обращение с технической документацией,3,0.11%
Навыки разрешения спорных ситуаций,3,0.11%
Функции технического заказчика,3,0.11%
Критическое мышление,2,0.07%
Составление смет,2,0.07%
Закупки,2,0.07%
Аналитические способности,2,0.07%
Машиностроение,2,0.07%
Автоматизация процессов,2,0.07%
Руководитель проекта,2,0.07%
Сметы,2,0.07%
Отделочные работы,2,0.07%
Лидерские качества,2,0.07%
Управление проектом,2,0.07%
Активность,2,0.07%
Управление бюджетом,2,0.07%
Ведение отчетности,2,0.07%
Жизненный цикл команды,2,0.07%
Составление отчетности,2,0.07%
Яндекс.Метрика,2,0.07%
Эффективное принятие решений,2,0.07%
Event Management,2,0.07%
Организация корпоративных мероприятий,2,0.07%
"Коммуникабельность, ответственность",2,0.07%
Информационные технологии,2,0.07%
Ведение деловой переписки,2,0.07%
Google Analytics,2,0.07%
Описание бизнес-процессов,2,0.07%
Участие в Тендерах,2,0.07%
Реализация проектов,2,0.07%
Девелопмент,2,0.07%
JavaScript,2,0.07%
Внутренние коммуникации,2,0.07%
Отделка помещений,2,0.07%
Автоматизация бизнес-процессов,2,0.07%
MS Project Expert,2,0.07%
Анализ целевой аудитории,2,0.07%
Выполнение технического надзора,2,0.07%
Договоры подряда,2,0.07%
Мотивация персонала,2,0.07%
Онбординг,2,0.07%
Управление процессами,2,0.07%
Обучение и развитие,2,0.07%
Техническое задание,2,0.07%
1С-Битрикс,2,0.07%
Laravel,2,0.07%
Проектирование инженерных систем,2,0.07%
Благоустройство территории,2,0.07%
BPMN,2,0.07%
Умение управлять структурным подразделением и организовать его работу,2,0.07%
Промышленные объекты,2,0.07%
Разработка технической документации,2,0.07%
Проектно-конструкторская деятельность,2,0.07%
Объекты связи,2,0.07%
Компас-3D,2,0.07%
Грамотная письменная речь,2,0.07%
Грамотная устная речь,2,0.07%
B2C продажи,2,0.07%
Умение работать в команде,2,0.07%
Инициативность,2,0.07%
Фасилитация,2,0.07%
Roadmap,2,0.07%
Командные метрики,2,0.07%
Customer Journey Mapping,2,0.07%
Ведение переписки,2,0.07%
Составление графиков работы,2,0.07%
Грамотная речь и письмо,2,0.07%
Проектная работа,2,0.07%
Стратегия управления рисками,2,0.07%
Поиск объектов,2,0.07%
Стратегическое планирование,2,0.07%
Контроль проектной документации,2,0.07%
Деловая этика,2,0.07%
Работа с дебиторской задолженностью,2,0.07%
Работа с людьми,2,0.07%
Проектное управление,2,0.07%
Высшее образование,2,0.07%
Опытный пользователь ПК,2,0.07%
