Навык,Количество,Процент
Деловая коммуникация,114,3.79%
Деловая переписка,99,3.29%
Управление проектами,89,2.96%
Организаторские навыки,87,2.89%
Деловое общение,58,1.93%
Ведение переговоров,53,1.76%
Заключение договоров,52,1.73%
Работа в команде,51,1.70%
Проектный менеджмент,43,1.43%
Телефонные переговоры,37,1.23%
Работа с большим объемом информации,37,1.23%
Project management,30,1.00%
Планирование бюджета,26,0.86%
Управление коммуникациями,26,0.86%
Управление командой,26,0.86%
Основы управления проектами,25,0.83%
Ведение проектной документации,24,0.80%
Английский язык,24,0.80%
Жизненный цикл проекта,24,0.80%
Разработка технических заданий,23,0.76%
B2B Продажи,22,0.73%
Проектная документация,21,0.70%
MS PowerPoint,20,0.67%
MS Project,20,0.67%
Документооборот,19,0.63%
MS Excel,19,0.63%
Грамотная речь,19,0.63%
Активные продажи,19,0.63%
Управление рисками,19,0.63%
AutoCAD,18,0.60%
Аналитическое мышление,17,0.57%
Навыки переговоров,16,0.53%
Scrum,16,0.53%
Управление интернет-проектами,16,0.53%
Пользователь ПК,16,0.53%
Ориентация на результат,16,0.53%
Планирование,15,0.50%
Поиск и привлечение клиентов,15,0.50%
Подготовка коммерческих предложений,14,0.47%
Управление временем,14,0.47%
Строительство,14,0.47%
Сопровождение клиентов,14,0.47%
Управление конфликтами,14,0.47%
Постановка задач разработчикам,14,0.47%
Стратегический менеджмент,14,0.47%
Бизнес-анализ,13,0.43%
Обучение и развитие,13,0.43%
Развитие продаж,13,0.43%
Ответственность,13,0.43%
Agile,13,0.43%
Организация работы сотрудников,12,0.40%
Управление подрядчиками,12,0.40%
Управление ресурсами,12,0.40%
Навыки презентации,12,0.40%
Проведение презентаций,12,0.40%
Управление персоналом,12,0.40%
Управление ожиданиями,12,0.40%
Коммуникабельность,11,0.37%
Руководство коллективом,11,0.37%
Многозадачность,10,0.33%
Agile Project Management,10,0.33%
Грамотность,10,0.33%
Битрикс24,9,0.30%
Документальное сопровождение,9,0.30%
Организация деловых встреч,9,0.30%
Техническая документация,9,0.30%
Согласование договоров,9,0.30%
Организация мероприятий,9,0.30%
Формирование границ проекта,8,0.27%
CRM,8,0.27%
Ведение активных клиентов,8,0.27%
Управление отношениями с клиентами,8,0.27%
Менеджмент качества,8,0.27%
Работа с ключевыми клиентами,8,0.27%
Навыки продаж,8,0.27%
PMBOK,8,0.27%
Event Management,7,0.23%
Стратегическое мышление,7,0.23%
Стрессоустойчивость,7,0.23%
Тайм-менеджмент,7,0.23%
Ведение переписки,7,0.23%
Figma,7,0.23%
Подготовка презентаций,7,0.23%
Креативность,7,0.23%
Коммуникативные навыки,7,0.23%
Составление договоров,7,0.23%
Управленческие навыки,7,0.23%
Электронный документооборот,7,0.23%
Планирование ресурсов,7,0.23%
MS Office,7,0.23%
Консультирование клиентов,7,0.23%
Управление изменениями,7,0.23%
Грамотная письменная речь,6,0.20%
Бюджетирование,6,0.20%
Чтение чертежей,6,0.20%
1С,6,0.20%
Клиентоориентированность,6,0.20%
1С-Битрикс,6,0.20%
Проектная деятельность,6,0.20%
Разработка бизнес-требований,6,0.20%
Внимательность,6,0.20%
Продуктовые метрики,6,0.20%
Деловые коммуникации,6,0.20%
Контроль исполнения решений,6,0.20%
1С: Документооборот,6,0.20%
Kanban,5,0.17%
Оптимизация бизнес-процессов,5,0.17%
Работа с CRM,5,0.17%
Системное мышление,5,0.17%
Работа с возражениями,5,0.17%
Google Docs,5,0.17%
Поиск информации в интернет,5,0.17%
Организация и контроль работы персонала,5,0.17%
Waterfall,5,0.17%
Анализ конкурентной среды,5,0.17%
Жизненный цикл команды,5,0.17%
Ориентация на клиента,5,0.17%
Умение работать в режиме многозадачности,5,0.17%
Информационные технологии,5,0.17%
Системный анализ,5,0.17%
Грамотная устная и письменная речь,5,0.17%
Работа с клиентами,5,0.17%
Управление строительством,5,0.17%
Выбор подрядных организаций,5,0.17%
Управление бэклогом,5,0.17%
Digital Marketing,5,0.17%
Контроль выполнения задач,5,0.17%
Excel,5,0.17%
Интернет-реклама,5,0.17%
Закупки,5,0.17%
Тендеры,4,0.13%
Организационные навыки,4,0.13%
Знание нормативной документации,4,0.13%
Управление затратами,4,0.13%
Контроль сотрудников,4,0.13%
Планирование карьеры,4,0.13%
Организация корпоративных мероприятий,4,0.13%
Ведение отчетности,4,0.13%
SEO,4,0.13%
Закупка товаров и услуг,4,0.13%
Проектирование пользовательских интерфейсов,4,0.13%
Разработка и внедрение KPI,4,0.13%
Сметы,4,0.13%
Разработка стратегии развития,4,0.13%
Умение принимать решения,4,0.13%
Обучение персонала,4,0.13%
Развитие ключевых клиентов,4,0.13%
Системная интеграция,4,0.13%
Маркетинговые коммуникации,4,0.13%
Грамотная устная речь,4,0.13%
Сопровождение строительства,4,0.13%
Ведение документации,4,0.13%
Делегирование,4,0.13%
Прямые продажи,4,0.13%
Анализ рынка,3,0.10%
Выявление потребностей,3,0.10%
Целеустремленность,3,0.10%
Анализ требований,3,0.10%
B2G продажи,3,0.10%
Управление бюджетом,3,0.10%
Договоры подряда,3,0.10%
Знание нормативной документации ГОСТ и СНиП,3,0.10%
Фасилитация,3,0.10%
Строительные расчёты,3,0.10%
Уверенный пользователь ПК,3,0.10%
Яндекс.Метрика,3,0.10%
Работа с поставщиками,3,0.10%
Miro,3,0.10%
Наставничество,3,0.10%
Управление знаниями‎,3,0.10%
Интернет маркетинг,3,0.10%
Стратегическое планирование,3,0.10%
Разработка ПО,3,0.10%
Разработка проектной документации,3,0.10%
Мобильность,3,0.10%
Участие в Тендерах,3,0.10%
Проведение переговоров,3,0.10%
Оценка потребностей клиентов,3,0.10%
Jira,3,0.10%
Управление продажами,3,0.10%
Гражданское строительство,3,0.10%
Расстановка приоритетов,3,0.10%
Планирование строительных работ,3,0.10%
Строительная документация,3,0.10%
MS Visio,3,0.10%
Сопровождение сделок,3,0.10%
MS Outlook,3,0.10%
Строительный контроль,3,0.10%
Умение работать с большим объемом информации,3,0.10%
Организованность,3,0.10%
Исполнение личных поручений руководителя,3,0.10%
Менеджмент,3,0.10%
Unity,3,0.10%
Договорная работа,3,0.10%
Сбор и анализ информации,3,0.10%
Управление стейкхолдерами,3,0.10%
Проведение опросов,3,0.10%
Пунктуальность,3,0.10%
Протоколирование,3,0.10%
Электронная почта,3,0.10%
Внутренние коммуникации,3,0.10%
Ведение проектов,3,0.10%
Лидерство,3,0.10%
Основы бухгалтерского учета,3,0.10%
Работа в условиях многозадачности,3,0.10%
Контроль бюджета,3,0.10%
1С: Предприятие,2,0.07%
Стратегический анализ внешней среды,2,0.07%
Управление документооборотом,2,0.07%
Мониторинг цен,2,0.07%
Управление бюджетом проекта,2,0.07%
Обращение с технической документацией,2,0.07%
Продвижение бренда,2,0.07%
Контроль сроков и качества,2,0.07%
Чтение проектной документации,2,0.07%
Работа с технической документацией,2,0.07%
Анализ рисков,2,0.07%
Производство пусконаладочных работ,2,0.07%
Проактивность,2,0.07%
организация клиентских мероприятий,2,0.07%
Навыки делового общения,2,0.07%
Урегулирование конфликтов,2,0.07%
руководство командой разработчиков,2,0.07%
АСУ ТП,2,0.07%
АСУ,2,0.07%
Участие в конференциях,2,0.07%
SCADA,2,0.07%
Организация совещаний,2,0.07%
Навыки планирования,2,0.07%
Account Management,2,0.07%
MS Word,2,0.07%
СКАДА,2,0.07%
ПЛК,2,0.07%
Администрирование,2,0.07%
Аналитический склад ума,2,0.07%
Продуктовая стратегия,2,0.07%
Управление портфелем продуктов,2,0.07%
Управление бизнес процессами,2,0.07%
Asana,2,0.07%
Электрические системы и слаботочные системы,2,0.07%
Atlassian Jira,2,0.07%
Стили управления,2,0.07%
Подбор производственного персонала,2,0.07%
геймдев,2,0.07%
Подбор персонала,2,0.07%
Пуско-наладочные работы,2,0.07%
Автоматизация производства,2,0.07%
Умение работать с людьми,2,0.07%
Автоматизация технологических процессов,2,0.07%
Онбординг,2,0.07%
программирование,2,0.07%
руководитель проектов,2,0.07%
Организация презентаций,2,0.07%
Структурированность,2,0.07%
SMM,2,0.07%
Telegram,2,0.07%
Контроль дебиторской задолженности,2,0.07%
Аналитические способности,2,0.07%
Организация встреч,2,0.07%
Операционное планирование,2,0.07%
Проектная работа,2,0.07%
Производство декораций,2,0.07%
Менеджер проекта,2,0.07%
Теплые продажи,2,0.07%
Объекты связи,2,0.07%
Автоматизация,2,0.07%
